Year,Date,,Version,Release,Changes,By,,Type,General,General Category,,
2020,12/07/2020,3.11.,3.11,MINOR,Correct Javadocs of methods that use Validate.notNull() and replace some uses of Validate.isTrue() with Validate.notNull(). #525. Thanks to Isira Seneviratne.,ggregory,JavaDoc,Fix JavaDoc,Fix documentation,Documentation,,
2020,12/07/2020,3.11.,3.11,MINOR,Add allNull() and anyNull() methods to ObjectUtils. #522. Fixes LANG-1539. Thanks to Isira Seneviratne.,ggregory,,,Add method,Add support for a new feature,,
2020,12/07/2020,3.11.,3.11,MINOR,org.apache.commons:commons-parent 50 -> 51.,ggregory,,,Bump version numbers,Update dependency,,
2020,12/07/2020,3.11.,3.11,MINOR,org.junit-pioneer:junit-pioneer 0.5.4 -> 0.6.0.,ggregory,,,Bump version numbers,Update dependency,,
2020,12/07/2020,3.11.,3.11,MINOR,org.junit.jupiter:junit-jupiter 5.6.0 -> 5.6.2.,ggregory,,,Bump version numbers,Update dependency,,
2020,12/07/2020,3.11.,3.11,MINOR,com.github.spotbugs:spotbugs 4.0.0 -> 4.0.6.,ggregory,,,Bump version numbers,Update dependency,,
2020,12/07/2020,3.11.,3.11,MINOR,com.puppycrawl.tools:checkstyle 8.29 -> 8.34.,ggregory,,,Bump version numbers,Update dependency,,
2020,12/07/2020,3.11.,3.11,MINOR,commons.surefire.version 3.0.0-M4 -> 3.0.0-M5..,ggregory,,,Bump version numbers,Update dependency,,
2020,22/03/2020,3.10.,3.10.,MINOR,,,,,,,,
2020,22/03/2020,3.10.,3.10.,MINOR,Make test more stable by wrapping assertions in hashset. Fixes LANG-1514. Thanks to contextshuffling.,kinow,Test,test will fail if the order returned by the API is different.,Fix failing tests,Bug fix,Corrective,
2020,22/03/2020,3.10.,3.10.,MINOR,Generate Javadoc jar on build. Fixes LANG-1450.,chtompki,,Generate javadoc jar on build,Fix wrong implementation,Bug fix,,
2020,22/03/2020,3.10.,3.10.,MINOR,"Add ExceptionUtils.throwableOfType(Throwable, Class) and friends. Fixes LANG-1457.",ggregory,exception ,,Add method,Add support for a new feature,,
2020,22/03/2020,3.10.,3.10.,MINOR,Add EMPTY_ARRAY constants to classes in org.apache.commons.lang3.tuple. Fixes LANG-1458.,ggregory,,,Add constants/variables,Add support for a new feature,,
2020,22/03/2020,3.10.,3.10.,MINOR,Add null-safe StringUtils APIs to wrap String#getBytes([Charset|String]). Fixes LANG-1461.,ggregory,,,Add method,Add support for a new feature,,
2020,22/03/2020,3.10.,3.10.,MINOR,Add zero arg constructor for org.apache.commons.lang3.NotImplementedException. Fixes LANG-1467.,ggregory,,,Add constructor,Add support for a new feature,,
2020,22/03/2020,3.10.,3.10.,MINOR,Add ArrayUtils.addFirst() methods. Fixes LANG-1470.,ggregory,,,Add method,Add support for a new feature,,
2020,22/03/2020,3.10.,3.10.,MINOR,Remove redundant if statements in join methods #411. Fixes LANG-1437. Thanks to Andrei Troie.,ggregory,,Remove redundant if-statement,Code refinement,Performance improvement,,
2020,22/03/2020,3.10.,3.10.,MINOR,"Trivial: year of release for 3.9 says 2018, should be 2019. Fixes LANG-1460. Thanks to Larry West.",kinow,,,Update documentation,Documentation,,
2020,22/03/2020,3.10.,3.10.,MINOR,Use synchronize on a set created with Collections.synchronizedSet before iterating. Fixes LANG-1476. Thanks to emopers.,kinow,,,Fix thread-safe issue,Bug fix,,
2020,22/03/2020,3.10.,3.10.,MINOR,Add Range.fit(T) to fit a value into a range. Fixes LANG-1479.,ggregory,,,Add method,Add support for a new feature,,
2020,22/03/2020,3.10.,3.10.,MINOR,commons.japicmp.version 0.13.1 -> 0.14.1.,ggregory,,,Bump version numbers,Update dependency,,
2020,22/03/2020,3.10.,3.10.,MINOR,junit-jupiter 5.5.0 -> 5.5.1.,ggregory,,,Bump version numbers,Update dependency,,
2020,22/03/2020,3.10.,3.10.,MINOR,"Added Functions.as*, and tests thereof, as suggested by Peter Verhas. Fixes LANG-1477.",jochen,,,Add method,Add support for a new feature,,
2020,22/03/2020,3.10.,3.10.,MINOR,StringUtils.unwrap incorrect throw StringIndexOutOfBoundsException. Fixes LANG-1475. Thanks to stzx.,kinow,exception,StringIndexOutOfBoundsException,Handle exception,Bug fix,Corrective,
2020,22/03/2020,3.10.,3.10.,MINOR,Add gettersfor lhs and rhs objects in DiffResult #451. Fixes LANG-1485. Thanks to nicolasbd.,ggregory,,Add getters,Add method,Add support for a new feature,,
